Time,id,Gender,Group,Score
T1,20,Male,Degree,20
T1,21,Male,Degree,15
T1,22,Female,Degree,19
T1,23,Female,Degree,28
T1,24,Male,Degree,27
T1,25,Male,Degree,21
T1,26,Female,Degree,20
T1,27,Male,Degree,24
T1,28,Female,Degree,23
T1,29,Male,Degree,19
T1,30,Male,Degree,18
T1,31,Female,Degree,25
T1,32,Male,Degree,21
T1,33,Male,Degree,11
T1,34,Male,Degree,16
T1,35,Male,Degree,26
T1,36,Male,Degree,30
T1,37,Male,Degree,27
T1,38,Male,Degree,36
T1,39,Male,Degree,33
T1,40,Female,Degree,29
T1,41,Female,Degree,26
T1,42,Female,Degree,24
T1,43,Male,Degree,26
T1,44,Male,Degree,27
T1,45,Female,Degree,30
T1,46,Male,Degree,28
T1,47,Male,Degree,27
T1,48,Female,Degree,30
T1,49,Male,Degree,31
T1,50,Male,Degree,28
T1,51,Female,Degree,34
T1,52,Female,Degree,34
T1,53,Male,Degree,32
T1,54,Male,Degree,36
T1,55,Male,Degree,29
T1,56,Male,Degree,28
T1,57,Male,Degree,31
T1,58,Male,Degree,28
T1,59,Female,Degree,33
T1,60,Male,Degree,30
T1,61,Male,Degree,33
T1,62,Female,Degree,26
T1,63,Male,Degree,31
T1,64,Male,Degree,30
T1,65,Female,Degree,35
T1,66,Female,Degree,30
T1,67,Female,Degree,25
T1,68,Female,Degree,26
T1,69,Male,Degree,29
T1,70,Female,Degree,29
T1,71,Female,Degree,24
T1,72,Male,Degree,28
T1,73,Female,Degree,31
T1,74,Female,Degree,21
T1,75,Male,Degree,33
T1,76,Female,Degree,25
T1,77,Male,Degree,29
T1,78,Male,Degree,31
T1,79,Male,Degree,25
T1,80,Female,Degree,30
T1,81,Female,Degree,26
T1,82,Male,Degree,25
T1,83,Male,Degree,28
T1,84,Female,Degree,22
T1,85,Female,Degree,24
T1,86,Male,Degree,28
T1,87,Female,Degree,22
T1,88,Female,Degree,18
T1,89,Female,Degree,24
T1,90,Female,Degree,29
T1,91,Female,Degree,25
T1,92,Female,Degree,27
T1,93,Female,Degree,32
T1,94,Male,Degree,24
T1,95,Female,Degree,27
T1,96,Male,Degree,28
T1,97,Female,Degree,27
T1,98,Female,Degree,28
T1,99,Male,Degree,28
T1,100,Female,Master Degree,35
T1,101,Female,Master Degree,29
T1,102,Female,Master Degree,30
T1,103,Female,Master Degree,31
T1,104,Female,Master Degree,38
T1,105,Male,Master Degree,29
T1,106,Female,Master Degree,31
T1,107,Female,Master Degree,35
T1,108,Female,Master Degree,34
T1,109,Male,Master Degree,34
T1,110,Female,Master Degree,34
T1,111,Female,Master Degree,34
T1,112,Female,Master Degree,25
T1,113,Male,Master Degree,27
T1,114,Male,Master Degree,28
T1,115,Male,Master Degree,32
T1,116,Female,Master Degree,34
T1,117,Male,Master Degree,29
T1,118,Male,Master Degree,31
T1,119,Male,Master Degree,25
T1,120,Female,Master Degree,35
T1,121,Female,Master Degree,26
T1,122,Male,Master Degree,29
T1,123,Female,Master Degree,32
T1,124,Female,Master Degree,31
T1,125,Male,Master Degree,28
T1,126,Male,Master Degree,33
T1,127,Female,Master Degree,31
T1,128,Male,Master Degree,30
